date,open,high,low,close,volume
2015-01-09 09:15:00+05:30,18845.9,18864.0,18790.2,18815.15,0
2015-01-09 09:30:00+05:30,18815.15,18821.4,18758.5,18771.6,0
2015-01-09 09:45:00+05:30,18774.15,18808.3,18761.1,18802.9,0
2015-01-09 10:00:00+05:30,18802.9,18813.6,18758.5,18781.15,0
2015-01-09 10:15:00+05:30,18781.15,18807.1,18769.45,18803.0,0
2015-01-09 10:30:00+05:30,18803.0,18806.9,18764.0,18764.0,0
2015-01-09 10:45:00+05:30,18764.0,18790.65,18745.6,18778.3,0
2015-01-09 11:00:00+05:30,18778.3,18790.0,18771.3,18779.35,0
2015-01-09 11:15:00+05:30,18779.35,18783.7,18734.15,18734.15,0
2015-01-09 11:30:00+05:30,18734.15,18734.3,18685.65,18699.65,0
2015-01-09 11:45:00+05:30,18699.65,18719.65,18697.95,18715.3,0
2015-01-09 12:00:00+05:30,18716.3,18717.6,18570.85,18616.35,0
2015-01-09 12:15:00+05:30,18616.35,18623.5,18575.4,18585.55,0
2015-01-09 12:30:00+05:30,18585.55,18592.9,18517.25,18567.85,0
2015-01-09 12:45:00+05:30,18569.5,18653.3,18547.1,18647.75,0
2015-01-09 13:00:00+05:30,18647.75,18647.75,18565.95,18565.95,0
2015-01-09 13:15:00+05:30,18569.4,18606.1,18557.2,18600.15,0
2015-01-09 13:30:00+05:30,18600.15,18605.85,18568.8,18581.9,0
2015-01-09 13:45:00+05:30,18581.9,18597.5,18493.8,18519.1,0
2015-01-09 14:00:00+05:30,18519.1,18533.7,18479.65,18514.15,0
2015-01-09 14:15:00+05:30,18514.15,18571.75,18490.6,18541.55,0
2015-01-09 14:30:00+05:30,18543.15,18585.5,18504.2,18579.55,0
2015-01-09 14:45:00+05:30,18570.35,18630.15,18557.05,18591.75,0
2015-01-09 15:00:00+05:30,18591.75,18678.35,18591.75,18663.05,0
2015-01-09 15:15:00+05:30,18663.05,18663.05,18582.9,18598.05,0
2015-01-12 09:15:00+05:30,18632.0,18632.0,18530.1,18560.45,0
2015-01-12 09:30:00+05:30,18560.45,18646.85,18533.8,18646.85,0
2015-01-12 09:45:00+05:30,18647.9,18737.1,18631.15,18729.95,0
2015-01-12 10:00:00+05:30,18729.95,18755.75,18708.75,18748.15,0
2015-01-12 10:15:00+05:30,18748.15,18787.7,18742.8,18765.95,0
2015-01-12 10:30:00+05:30,18763.15,18765.95,18728.95,18747.5,0
2015-01-12 10:45:00+05:30,18747.5,18749.15,18701.7,18723.4,0
2015-01-12 11:00:00+05:30,18723.4,18742.8,18720.9,18725.8,0
2015-01-12 11:15:00+05:30,18725.8,18725.8,18702.7,18723.4,0
2015-01-12 11:30:00+05:30,18726.4,18747.6,18705.35,18712.85,0
2015-01-12 11:45:00+05:30,18712.85,18740.9,18711.9,18735.0,0
2015-01-12 12:00:00+05:30,18734.1,18743.55,18673.05,18685.75,0
2015-01-12 12:15:00+05:30,18684.25,18689.6,18629.3,18638.5,0
2015-01-12 12:30:00+05:30,18638.5,18664.1,18638.5,18655.7,0
2015-01-12 12:45:00+05:30,18655.7,18659.25,18635.15,18659.25,0
2015-01-12 13:00:00+05:30,18659.25,18695.6,18655.8,18685.05,0
2015-01-12 13:15:00+05:30,18687.5,18694.05,18670.3,18680.7,0
2015-01-12 13:30:00+05:30,18680.7,18716.05,18674.75,18695.95,0
2015-01-12 13:45:00+05:30,18695.95,18727.55,18694.25,18721.85,0
2015-01-12 14:00:00+05:30,18724.0,18757.0,18721.85,18738.8,0
2015-01-12 14:15:00+05:30,18738.2,18817.3,18730.8,18817.3,0
2015-01-12 14:30:00+05:30,18814.5,18817.3,18774.85,18776.35,0
2015-01-12 14:45:00+05:30,18776.35,18793.45,18750.8,18768.65,0
2015-01-12 15:00:00+05:30,18768.65,18804.6,18768.65,18782.2,0
2015-01-12 15:15:00+05:30,18782.2,18822.05,18778.5,18808.75,0
2015-01-13 09:15:00+05:30,18889.0,18890.2,18816.5,18839.55,0
2015-01-13 09:30:00+05:30,18839.55,18869.25,18815.8,18860.45,0
2015-01-13 09:45:00+05:30,18860.45,18909.05,18860.2,18885.65,0
2015-01-13 10:00:00+05:30,18885.65,18904.25,18870.05,18889.9,0
2015-01-13 10:15:00+05:30,18889.9,18891.4,18860.9,18889.25,0
2015-01-13 10:30:00+05:30,18889.25,18920.65,18883.8,18910.45,0
2015-01-13 10:45:00+05:30,18910.45,18911.25,18895.65,18900.0,0
2015-01-13 11:00:00+05:30,18900.0,18900.6,18856.35,18862.9,0
2015-01-13 11:15:00+05:30,18860.4,18867.7,18833.45,18837.55,0
2015-01-13 11:30:00+05:30,18837.55,18849.2,18813.8,18839.0,0
2015-01-13 11:45:00+05:30,18839.55,18867.9,18833.65,18851.05,0
2015-01-13 12:00:00+05:30,18851.05,18854.8,18831.25,18844.9,0
2015-01-13 12:15:00+05:30,18844.9,18856.05,18828.55,18839.25,0
2015-01-13 12:30:00+05:30,18839.25,18842.6,18801.75,18830.7,0
2015-01-13 12:45:00+05:30,18830.7,18838.45,18817.4,18838.1,0
2015-01-13 13:00:00+05:30,18836.9,18856.55,18835.3,18856.55,0
2015-01-13 13:15:00+05:30,18856.5,18915.8,18856.5,18910.55,0
2015-01-13 13:30:00+05:30,18908.55,18917.05,18871.95,18888.8,0
2015-01-13 13:45:00+05:30,18888.8,18909.75,18886.25,18895.15,0
2015-01-13 14:00:00+05:30,18895.15,18897.35,18843.2,18843.45,0
2015-01-13 14:15:00+05:30,18843.45,18851.3,18785.2,18785.2,0
2015-01-13 14:30:00+05:30,18785.2,18785.2,18650.75,18666.95,0
2015-01-13 14:45:00+05:30,18666.95,18690.3,18642.8,18679.25,0
2015-01-13 15:00:00+05:30,18679.25,18718.95,18656.1,18715.1,0
2015-01-13 15:15:00+05:30,18715.1,18728.7,18701.55,18724.75,0
2015-01-14 09:15:00+05:30,18670.4,18689.9,18621.75,18651.35,0
2015-01-14 09:30:00+05:30,18651.35,18740.5,18644.95,18723.2,0
2015-01-14 09:45:00+05:30,18725.4,18769.65,18707.55,18716.85,0
2015-01-14 10:00:00+05:30,18716.85,18716.85,18676.15,18680.4,0
2015-01-14 10:15:00+05:30,18684.65,18708.3,18661.1,18705.45,0
2015-01-14 10:30:00+05:30,18705.45,18705.45,18672.85,18688.2,0
